"Date","LocalName","Name","CountryCode","Fixed","Global","LaunchYear","Type","Counties"
"2021-12-26","Stephanstag","St. Stephen's Day","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW"
"2022-01-01","Neujahr","New Year's Day","CH","False","True",NA,"Public",""
"2022-01-02","Berchtoldstag","St. Berchtold's Day","CH","False","False",NA,"Public","CH-BE,CH-FR,CH-SH,CH-AG,CH-TG,CH-VD,CH-NE"
"2022-01-06","Heilige Drei Könige","Epiphany","CH","False","False",NA,"Public","CH-TI"
"2022-01-06","Heilige Drei Könige","Epiphany","CH","False","False",NA,"Observance","CH-UR,CH-SZ"
"2022-03-01","Jahrestag der Ausrufung der Republik","Republic Day","CH","False","False",NA,"Public","CH-NE"
"2022-03-19","Josefstag","Saint Joseph's Day","CH","False","False",NA,"Public","CH-SZ,CH-VS"
"2022-03-19","Josefstag","Saint Joseph's Day","CH","False","False",NA,"Observance","CH-LU,CH-UR,CH-NW,CH-TI"
"2022-04-04","Näfelser Fahrt","Näfels procession","CH","False","False",NA,"Public","CH-GL"
"2022-04-15","Karfreitag","Good Friday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-GL,CH-ZG,CH-FR,CH-SO,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-VD,CH-NE,CH-GE,CH-JU"
"2022-04-18","Ostermontag","Easter Monday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-TI,CH-VD,CH-GE,CH-JU"
"2022-04-18","Ostermontag","Easter Monday","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW"
"2022-05-01","Tag der Arbeit","Labour Day","CH","False","False",NA,"Public","CH-ZH,CH-SO,CH-BS,CH-BL,CH-SH,CH-AG,CH-NE,CH-JU"
"2022-05-01","Tag der Arbeit","Labour Day","CH","False","False",NA,"Observance","CH-TG,CH-TI"
"2022-05-26","Auffahrt","Ascension Day","CH","False","True",NA,"Public",""
"2022-06-06","Pfingstmontag","Whit Monday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-VD,CH-GE,CH-JU"
"2022-06-06","Pfingstmontag","Whit Monday","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW,CH-TI"
"2022-06-16","Fronleichnam","Corpus Christi","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-AI,CH-AG,CH-VS,CH-JU"
"2022-06-16","Fronleichnam","Corpus Christi","CH","False","False",NA,"Observance","CH-TI"
"2022-06-29","Peter und Paul","Saints Peter and Paul","CH","False","False",NA,"Public","CH-TI"
"2022-08-01","Bundesfeier","Swiss National Day","CH","False","True",NA,"Public",""
"2022-08-15","Maria Himmelfahrt","Assumption of the Virgin Mary","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-BL,CH-AI,CH-GR,CH-AG,CH-TI,CH-VS,CH-JU"
"2022-09-08","Jeûne genevois","Geneva Prayday","CH","False","False",NA,"Public","CH-GE"
"2022-09-18","Eidgenössischer Dank-, Buss- und Bettag","Federal Day of Thanksgiving","CH","False","False",NA,"Observance","CH-ZH,CH-BE,CH-LU,CH-SZ,CH-OW,CH-NW,CH-GL,CH-SO,CH-BS,CH-BL,CH-SH,CH-SG,CH-GR"
"2022-09-19","Bettagsmontag","Federal Fast Monday","CH","False","False",NA,"Public","CH-VD"
"2022-11-01","Allerheiligen","All Saints' Day","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-GL,CH-ZG,CH-FR,CH-SO,CH-AI,CH-SG,CH-GR,CH-AG,CH-TI,CH-VS,CH-JU"
"2022-12-08","Mariä Empfängnis","Immaculate Conception","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-AG,CH-TI,CH-VS"
"2022-12-08","Mariä Empfängnis","Immaculate Conception","CH","False","False",NA,"Observance","CH-AI,CH-JU"
"2022-12-25","Weihnachten","Christmas Day","CH","False","True",NA,"Public",""
"2022-12-26","Stephanstag","St. Stephen's Day","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-LU,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-SG,CH-GR,CH-AG,CH-TG,CH-TI,CH-AR,CH-AI,CH-NE"
"2022-12-26","Stephanstag","St. Stephen's Day","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW"
"2023-01-01","Neujahr","New Year's Day","CH","False","True",NA,"Public",""
"2023-01-02","Berchtoldstag","St. Berchtold's Day","CH","False","False",NA,"Public","CH-BE,CH-FR,CH-SH,CH-AG,CH-TG,CH-VD,CH-NE"
"2023-01-06","Heilige Drei Könige","Epiphany","CH","False","False",NA,"Public","CH-TI"
"2023-01-06","Heilige Drei Könige","Epiphany","CH","False","False",NA,"Observance","CH-UR,CH-SZ"
"2023-03-01","Jahrestag der Ausrufung der Republik","Republic Day","CH","False","False",NA,"Public","CH-NE"
"2023-03-19","Josefstag","Saint Joseph's Day","CH","False","False",NA,"Public","CH-SZ,CH-VS"
"2023-03-19","Josefstag","Saint Joseph's Day","CH","False","False",NA,"Observance","CH-LU,CH-UR,CH-NW,CH-TI"
"2023-04-04","Näfelser Fahrt","Näfels procession","CH","False","False",NA,"Public","CH-GL"
"2023-04-07","Karfreitag","Good Friday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-GL,CH-ZG,CH-FR,CH-SO,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-VD,CH-NE,CH-GE,CH-JU"
"2023-04-10","Ostermontag","Easter Monday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-TI,CH-VD,CH-GE,CH-JU"
"2023-04-10","Ostermontag","Easter Monday","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW"
"2023-05-01","Tag der Arbeit","Labour Day","CH","False","False",NA,"Public","CH-ZH,CH-SO,CH-BS,CH-BL,CH-SH,CH-AG,CH-NE,CH-JU"
"2023-05-01","Tag der Arbeit","Labour Day","CH","False","False",NA,"Observance","CH-TG,CH-TI"
"2023-05-18","Auffahrt","Ascension Day","CH","False","True",NA,"Public",""
"2023-05-29","Pfingstmontag","Whit Monday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-VD,CH-GE,CH-JU"
"2023-05-29","Pfingstmontag","Whit Monday","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW,CH-TI"
"2023-06-08","Fronleichnam","Corpus Christi","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-AI,CH-AG,CH-VS,CH-JU"
"2023-06-08","Fronleichnam","Corpus Christi","CH","False","False",NA,"Observance","CH-TI"
"2023-06-29","Peter und Paul","Saints Peter and Paul","CH","False","False",NA,"Public","CH-TI"
"2023-08-01","Bundesfeier","Swiss National Day","CH","False","True",NA,"Public",""
"2023-08-15","Maria Himmelfahrt","Assumption of the Virgin Mary","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-BL,CH-AI,CH-GR,CH-AG,CH-TI,CH-VS,CH-JU"
"2023-09-07","Jeûne genevois","Geneva Prayday","CH","False","False",NA,"Public","CH-GE"
"2023-09-17","Eidgenössischer Dank-, Buss- und Bettag","Federal Day of Thanksgiving","CH","False","False",NA,"Observance","CH-ZH,CH-BE,CH-LU,CH-SZ,CH-OW,CH-NW,CH-GL,CH-SO,CH-BS,CH-BL,CH-SH,CH-SG,CH-GR"
"2023-09-18","Bettagsmontag","Federal Fast Monday","CH","False","False",NA,"Public","CH-VD"
"2023-11-01","Allerheiligen","All Saints' Day","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-GL,CH-ZG,CH-FR,CH-SO,CH-AI,CH-SG,CH-GR,CH-AG,CH-TI,CH-VS,CH-JU"
"2023-12-08","Mariä Empfängnis","Immaculate Conception","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-AG,CH-TI,CH-VS"
"2023-12-08","Mariä Empfängnis","Immaculate Conception","CH","False","False",NA,"Observance","CH-AI,CH-JU"
"2023-12-25","Weihnachten","Christmas Day","CH","False","True",NA,"Public",""
"2023-12-26","Stephanstag","St. Stephen's Day","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-LU,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-SG,CH-GR,CH-AG,CH-TG,CH-TI,CH-NE"
"2023-12-26","Stephanstag","St. Stephen's Day","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW"
"2024-01-01","Neujahr","New Year's Day","CH","False","True",NA,"Public",""
"2024-01-02","Berchtoldstag","St. Berchtold's Day","CH","False","False",NA,"Public","CH-BE,CH-FR,CH-SH,CH-AG,CH-TG,CH-VD"
"2024-01-06","Heilige Drei Könige","Epiphany","CH","False","False",NA,"Public","CH-TI"
"2024-01-06","Heilige Drei Könige","Epiphany","CH","False","False",NA,"Observance","CH-UR,CH-SZ"
"2024-03-01","Jahrestag der Ausrufung der Republik","Republic Day","CH","False","False",NA,"Public","CH-NE"
"2024-03-19","Josefstag","Saint Joseph's Day","CH","False","False",NA,"Public","CH-SZ,CH-VS"
"2024-03-19","Josefstag","Saint Joseph's Day","CH","False","False",NA,"Observance","CH-LU,CH-UR,CH-NW,CH-TI"
"2024-03-29","Karfreitag","Good Friday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-GL,CH-ZG,CH-FR,CH-SO,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-VD,CH-NE,CH-GE,CH-JU"
"2024-04-01","Ostermontag","Easter Monday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-TI,CH-VD,CH-GE,CH-JU"
"2024-04-01","Ostermontag","Easter Monday","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW"
"2024-04-04","Näfelser Fahrt","Näfels procession","CH","False","False",NA,"Public","CH-GL"
"2024-05-01","Tag der Arbeit","Labour Day","CH","False","False",NA,"Public","CH-ZH,CH-SO,CH-BS,CH-BL,CH-SH,CH-AG,CH-NE,CH-JU"
"2024-05-01","Tag der Arbeit","Labour Day","CH","False","False",NA,"Observance","CH-TG,CH-TI"
"2024-05-09","Auffahrt","Ascension Day","CH","False","True",NA,"Public",""
"2024-05-20","Pfingstmontag","Whit Monday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-VD,CH-GE,CH-JU"
"2024-05-20","Pfingstmontag","Whit Monday","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW,CH-TI"
"2024-05-30","Fronleichnam","Corpus Christi","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-AI,CH-AG,CH-VS,CH-JU"
"2024-05-30","Fronleichnam","Corpus Christi","CH","False","False",NA,"Observance","CH-TI"
"2024-06-29","Peter und Paul","Saints Peter and Paul","CH","False","False",NA,"Public","CH-TI"
"2024-08-01","Bundesfeier","Swiss National Day","CH","False","True",NA,"Public",""
"2024-08-15","Maria Himmelfahrt","Assumption of the Virgin Mary","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-BL,CH-AI,CH-GR,CH-AG,CH-TI,CH-VS,CH-JU"
"2024-09-05","Jeûne genevois","Geneva Prayday","CH","False","False",NA,"Public","CH-GE"
"2024-09-15","Eidgenössischer Dank-, Buss- und Bettag","Federal Day of Thanksgiving","CH","False","False",NA,"Observance","CH-ZH,CH-BE,CH-LU,CH-SZ,CH-OW,CH-NW,CH-GL,CH-SO,CH-BS,CH-BL,CH-SH,CH-SG,CH-GR"
"2024-09-16","Bettagsmontag","Federal Fast Monday","CH","False","False",NA,"Public","CH-VD"
"2024-11-01","Allerheiligen","All Saints' Day","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-GL,CH-ZG,CH-FR,CH-SO,CH-AI,CH-SG,CH-GR,CH-AG,CH-TI,CH-VS,CH-JU"
"2024-12-08","Mariä Empfängnis","Immaculate Conception","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-AG,CH-TI,CH-VS"
"2024-12-08","Mariä Empfängnis","Immaculate Conception","CH","False","False",NA,"Observance","CH-AI,CH-JU"
"2024-12-25","Weihnachten","Christmas Day","CH","False","True",NA,"Public",""
"2024-12-26","Stephanstag","St. Stephen's Day","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-LU,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-SG,CH-GR,CH-AG,CH-TG,CH-TI,CH-AR,CH-AI"
"2024-12-26","Stephanstag","St. Stephen's Day","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW"
